unit,1_prob,unit_prob_mean,unit_risk_class,lisa_sig,lisa_type,risk_lisa_combo
120,0.22008421,0.085300551,低,TRUE,高-低,低-高-低
120,0.262859106,0.085300551,低,TRUE,高-低,低-高-低
120,0.243482517,0.085300551,低,TRUE,高-低,低-高-低
106,0.417372398,0.163780824,中,TRUE,高-低,中-高-低
106,0.222952816,0.163780824,中,TRUE,高-低,中-高-低
120,0.183239433,0.085300551,低,TRUE,高-低,低-高-低
106,0.295591959,0.163780824,中,TRUE,高-低,中-高-低
106,0.263765123,0.163780824,中,TRUE,高-低,中-高-低
120,0.338439702,0.085300551,低,TRUE,高-低,低-高-低
106,0.433804633,0.163780824,中,TRUE,高-低,中-高-低
106,0.183336132,0.163780824,中,TRUE,高-低,中-高-低
106,0.183336132,0.163780824,中,TRUE,高-低,中-高-低
103,0.392780199,0.011320473,低,TRUE,高-低,低-高-低
104,0.219263763,0.025530438,低,TRUE,高-低,低-高-低
119,0.586877843,0.064222601,低,TRUE,高-低,低-高-低
119,0.18686208,0.064222601,低,TRUE,高-低,低-高-低
97,0.243095669,0.020016405,低,TRUE,高-低,低-高-低
97,0.82990659,0.020016405,低,TRUE,高-低,低-高-低
105,0.801815565,0.014157259,低,TRUE,高-低,低-高-低
105,0.239607996,0.014157259,低,TRUE,高-低,低-高-低
105,0.833369805,0.014157259,低,TRUE,高-低,低-高-低
96,0.502427128,0.022102092,低,TRUE,高-低,低-高-低
96,0.340248862,0.022102092,低,TRUE,高-低,低-高-低
96,0.404645653,0.022102092,低,TRUE,高-低,低-高-低
96,0.198835778,0.022102092,低,TRUE,高-低,低-高-低
96,0.186869054,0.022102092,低,TRUE,高-低,低-高-低
96,0.193669549,0.022102092,低,TRUE,高-低,低-高-低
96,0.183683182,0.022102092,低,TRUE,高-低,低-高-低
96,0.571610535,0.022102092,低,TRUE,高-低,低-高-低
96,0.265158907,0.022102092,低,TRUE,高-低,低-高-低
96,0.449762164,0.022102092,低,TRUE,高-低,低-高-低
96,0.349166383,0.022102092,低,TRUE,高-低,低-高-低
96,0.242665935,0.022102092,低,TRUE,高-低,低-高-低
96,0.180282767,0.022102092,低,TRUE,高-低,低-高-低
96,0.181076629,0.022102092,低,TRUE,高-低,低-高-低
0,0.380623288,0.215929812,中,TRUE,高-低,中-高-低
0,0.516809576,0.215929812,中,TRUE,高-低,中-高-低
94,0.593226624,0.022281983,低,TRUE,高-低,低-高-低
94,0.195196481,0.022281983,低,TRUE,高-低,低-高-低
0,0.23027502,0.215929812,中,TRUE,高-低,中-高-低
96,0.201441725,0.022102092,低,TRUE,高-低,低-高-低
0,0.217252909,0.215929812,中,TRUE,高-低,中-高-低
96,0.218607298,0.022102092,低,TRUE,高-低,低-高-低
96,0.330411784,0.022102092,低,TRUE,高-低,低-高-低
100,0.226474718,0.020363041,低,TRUE,高-低,低-高-低
94,0.683389141,0.022281983,低,TRUE,高-低,低-高-低
96,0.645299611,0.022102092,低,TRUE,高-低,低-高-低
96,0.2527103,0.022102092,低,TRUE,高-低,低-高-低
96,0.225436811,0.022102092,低,TRUE,高-低,低-高-低
100,0.204094672,0.020363041,低,TRUE,高-低,低-高-低
0,0.278208678,0.215929812,中,TRUE,高-低,中-高-低
94,0.239547075,0.022281983,低,TRUE,高-低,低-高-低
94,0.356211476,0.022281983,低,TRUE,高-低,低-高-低
94,0.876504616,0.022281983,低,TRUE,高-低,低-高-低
100,0.189938528,0.020363041,低,TRUE,高-低,低-高-低
96,0.463057761,0.022102092,低,TRUE,高-低,低-高-低
100,0.218326029,0.020363041,低,TRUE,高-低,低-高-低
94,0.234534216,0.022281983,低,TRUE,高-低,低-高-低
94,0.23333408,0.022281983,低,TRUE,高-低,低-高-低
94,0.509870118,0.022281983,低,TRUE,高-低,低-高-低
94,0.486979098,0.022281983,低,TRUE,高-低,低-高-低
94,0.32370227,0.022281983,低,TRUE,高-低,低-高-低
94,0.946894676,0.022281983,低,TRUE,高-低,低-高-低
99,0.193549487,0.013692586,低,TRUE,高-低,低-高-低
94,0.342128535,0.022281983,低,TRUE,高-低,低-高-低
95,0.312474942,0.060743464,低,TRUE,高-低,低-高-低
94,0.611689776,0.022281983,低,TRUE,高-低,低-高-低
91,0.369053079,0.036656185,低,TRUE,高-低,低-高-低
95,0.265638294,0.060743464,低,TRUE,高-低,低-高-低
95,0.265834399,0.060743464,低,TRUE,高-低,低-高-低
95,0.228636552,0.060743464,低,TRUE,高-低,低-高-低
95,0.201171827,0.060743464,低,TRUE,高-低,低-高-低
98,0.236866281,0.099677373,中,TRUE,高-低,中-高-低
95,0.698879019,0.060743464,低,TRUE,高-低,低-高-低
95,0.49660121,0.060743464,低,TRUE,高-低,低-高-低
93,0.198141777,0.126731122,中,TRUE,高-低,中-高-低
93,0.218394529,0.126731122,中,TRUE,高-低,中-高-低
91,0.716496677,0.036656185,低,TRUE,高-低,低-高-低
91,0.408495042,0.036656185,低,TRUE,高-低,低-高-低
91,0.333805565,0.036656185,低,TRUE,高-低,低-高-低
93,0.358655258,0.126731122,中,TRUE,高-低,中-高-低
93,0.232527256,0.126731122,中,TRUE,高-低,中-高-低
93,0.271056135,0.126731122,中,TRUE,高-低,中-高-低
93,0.185192602,0.126731122,中,TRUE,高-低,中-高-低
91,0.350276544,0.036656185,低,TRUE,高-低,低-高-低
91,0.225981925,0.036656185,低,TRUE,高-低,低-高-低
93,0.246290925,0.126731122,中,TRUE,高-低,中-高-低
92,0.228589095,0.026859524,低,TRUE,高-低,低-高-低
91,0.224023106,0.036656185,低,TRUE,高-低,低-高-低
90,0.27772378,0.0673435,低,TRUE,高-低,低-高-低
112,0.272829672,0.050607134,低,TRUE,高-低,低-高-低
90,0.697048003,0.0673435,低,TRUE,高-低,低-高-低
90,0.580854328,0.0673435,低,TRUE,高-低,低-高-低
90,0.181928259,0.0673435,低,TRUE,高-低,低-高-低
112,0.287925744,0.050607134,低,TRUE,高-低,低-高-低
90,0.194072887,0.0673435,低,TRUE,高-低,低-高-低
112,0.475360261,0.050607134,低,TRUE,高-低,低-高-低
90,0.587827942,0.0673435,低,TRUE,高-低,低-高-低
90,0.280111093,0.0673435,低,TRUE,高-低,低-高-低
90,0.910674707,0.0673435,低,TRUE,高-低,低-高-低
112,0.204358979,0.050607134,低,TRUE,高-低,低-高-低
90,0.887432871,0.0673435,低,TRUE,高-低,低-高-低
90,0.822095176,0.0673435,低,TRUE,高-低,低-高-低
90,0.554902257,0.0673435,低,TRUE,高-低,低-高-低
112,0.278771679,0.050607134,低,TRUE,高-低,低-高-低
90,0.53818683,0.0673435,低,TRUE,高-低,低-高-低
86,0.302628229,0.069957547,低,TRUE,高-低,低-高-低
90,0.892722854,0.0673435,低,TRUE,高-低,低-高-低
90,0.493394704,0.0673435,低,TRUE,高-低,低-高-低
90,0.476918699,0.0673435,低,TRUE,高-低,低-高-低
90,0.19981845,0.0673435,低,TRUE,高-低,低-高-低
86,0.253600942,0.069957547,低,TRUE,高-低,低-高-低
90,0.545307172,0.0673435,低,TRUE,高-低,低-高-低
112,0.193200581,0.050607134,低,TRUE,高-低,低-高-低
88,0.550217146,0.062690325,低,TRUE,高-低,低-高-低
86,0.467675766,0.069957547,低,TRUE,高-低,低-高-低
86,0.233624626,0.069957547,低,TRUE,高-低,低-高-低
88,0.623608018,0.062690325,低,TRUE,高-低,低-高-低
88,0.806335864,0.062690325,低,TRUE,高-低,低-高-低
88,0.398026269,0.062690325,低,TRUE,高-低,低-高-低
86,0.598407007,0.069957547,低,TRUE,高-低,低-高-低
86,0.434134598,0.069957547,低,TRUE,高-低,低-高-低
88,0.185168728,0.062690325,低,TRUE,高-低,低-高-低
88,0.217393469,0.062690325,低,TRUE,高-低,低-高-低
88,0.298120872,0.062690325,低,TRUE,高-低,低-高-低
86,0.763361775,0.069957547,低,TRUE,高-低,低-高-低
88,0.181653634,0.062690325,低,TRUE,高-低,低-高-低
89,0.809136419,0.022120585,低,TRUE,高-低,低-高-低
86,0.345580046,0.069957547,低,TRUE,高-低,低-高-低
86,0.769066344,0.069957547,低,TRUE,高-低,低-高-低
89,0.496425028,0.022120585,低,TRUE,高-低,低-高-低
86,0.20849314,0.069957547,低,TRUE,高-低,低-高-低
87,0.202483189,0.01728771,低,TRUE,高-低,低-高-低
87,0.338202724,0.01728771,低,TRUE,高-低,低-高-低
87,0.198983365,0.01728771,低,TRUE,高-低,低-高-低
86,0.27602684,0.069957547,低,TRUE,高-低,低-高-低
86,0.540661336,0.069957547,低,TRUE,高-低,低-高-低
85,0.201501158,0.018641049,低,TRUE,高-低,低-高-低
1,0.193122783,0.014445015,低,TRUE,高-低,低-高-低
85,0.197964031,0.018641049,低,TRUE,高-低,低-高-低
85,0.192965966,0.018641049,低,TRUE,高-低,低-高-低
85,0.25046926,0.018641049,低,TRUE,高-低,低-高-低
1,0.198709484,0.014445015,低,TRUE,高-低,低-高-低
1,0.182490074,0.014445015,低,TRUE,高-低,低-高-低
5,0.825599349,0.013046767,低,TRUE,高-低,低-高-低
80,0.208981096,0.035041437,低,TRUE,高-低,低-高-低
80,0.19558453,0.035041437,低,TRUE,高-低,低-高-低
80,0.207683022,0.035041437,低,TRUE,高-低,低-高-低
4,0.535693832,0.028844025,低,TRUE,高-低,低-高-低
80,0.249324434,0.035041437,低,TRUE,高-低,低-高-低
80,0.19509729,0.035041437,低,TRUE,高-低,低-高-低
84,0.609709513,0.025312703,低,TRUE,高-低,低-高-低
107,0.336064489,0.14864272,中,TRUE,高-低,中-高-低
7,0.259352299,0.139126653,中,TRUE,高-低,中-高-低
107,0.301906507,0.14864272,中,TRUE,高-低,中-高-低
6,0.2479812,0.340462853,高,TRUE,高-低,高-高-低
8,0.615707741,0.243241778,中,TRUE,高-低,中-高-低
82,0.280323093,0.223909556,中,TRUE,高-低,中-高-低
7,0.261356331,0.139126653,中,TRUE,高-低,中-高-低
82,0.22845012,0.223909556,中,TRUE,高-低,中-高-低
75,0.471185735,0.24669916,中,TRUE,高-低,中-高-低
107,0.686258938,0.14864272,中,TRUE,高-低,中-高-低
82,0.315494361,0.223909556,中,TRUE,高-低,中-高-低
82,0.199496899,0.223909556,中,TRUE,高-低,中-高-低
75,0.237309442,0.24669916,中,TRUE,高-低,中-高-低
107,0.437102533,0.14864272,中,TRUE,高-低,中-高-低
75,0.203705709,0.24669916,中,TRUE,高-低,中-高-低
7,0.832353138,0.139126653,中,TRUE,高-低,中-高-低
78,0.285805027,0.118985501,中,TRUE,高-低,中-高-低
75,0.252965295,0.24669916,中,TRUE,高-低,中-高-低
8,0.612381605,0.243241778,中,TRUE,高-低,中-高-低
75,0.185034474,0.24669916,中,TRUE,高-低,中-高-低
8,0.297283593,0.243241778,中,TRUE,高-低,中-高-低
77,0.350826288,0.140189855,中,TRUE,高-低,中-高-低
75,0.212931318,0.24669916,中,TRUE,高-低,中-高-低
76,0.425312798,0.149719202,中,TRUE,高-低,中-高-低
75,0.268435124,0.24669916,中,TRUE,高-低,中-高-低
8,0.660258536,0.243241778,中,TRUE,高-低,中-高-低
78,0.24353041,0.118985501,中,TRUE,高-低,中-高-低
76,0.221887335,0.149719202,中,TRUE,高-低,中-高-低
8,0.209361536,0.243241778,中,TRUE,高-低,中-高-低
74,0.321335917,0.21923331,中,TRUE,高-低,中-高-低
76,0.187082233,0.149719202,中,TRUE,高-低,中-高-低
73,0.191262818,0.100837527,中,TRUE,高-低,中-高-低
111,0.185598622,0.025508202,低,TRUE,高-低,低-高-低
8,0.234057082,0.243241778,中,TRUE,高-低,中-高-低
73,0.182932454,0.100837527,中,TRUE,高-低,中-高-低
73,0.182932454,0.100837527,中,TRUE,高-低,中-高-低
74,0.235701649,0.21923331,中,TRUE,高-低,中-高-低
74,0.181417046,0.21923331,中,TRUE,高-低,中-高-低
74,0.221512456,0.21923331,中,TRUE,高-低,中-高-低
74,0.258119269,0.21923331,中,TRUE,高-低,中-高-低
74,0.272744763,0.21923331,中,TRUE,高-低,中-高-低
73,0.465047342,0.100837527,中,TRUE,高-低,中-高-低
72,0.198660033,0.225831729,中,TRUE,高-低,中-高-低
72,0.219055317,0.225831729,中,TRUE,高-低,中-高-低
74,0.185135038,0.21923331,中,TRUE,高-低,中-高-低
73,0.288504568,0.100837527,中,TRUE,高-低,中-高-低
72,0.207430779,0.225831729,中,TRUE,高-低,中-高-低
73,0.26189618,0.100837527,中,TRUE,高-低,中-高-低
73,0.263846781,0.100837527,中,TRUE,高-低,中-高-低
72,0.532717638,0.225831729,中,TRUE,高-低,中-高-低
72,0.22280513,0.225831729,中,TRUE,高-低,中-高-低
73,0.483991279,0.100837527,中,TRUE,高-低,中-高-低
71,0.213750778,0.276354639,高,TRUE,高-低,高-高-低
74,0.373760761,0.21923331,中,TRUE,高-低,中-高-低
72,0.20536457,0.225831729,中,TRUE,高-低,中-高-低
71,0.214234036,0.276354639,高,TRUE,高-低,高-高-低
73,0.523243021,0.100837527,中,TRUE,高-低,中-高-低
72,0.211760845,0.225831729,中,TRUE,高-低,中-高-低
71,0.407706701,0.276354639,高,TRUE,高-低,高-高-低
71,0.19057212,0.276354639,高,TRUE,高-低,高-高-低
72,0.267665851,0.225831729,中,TRUE,高-低,中-高-低
71,0.190960472,0.276354639,高,TRUE,高-低,高-高-低
71,0.218180224,0.276354639,高,TRUE,高-低,高-高-低
71,0.319037539,0.276354639,高,TRUE,高-低,高-高-低
71,0.293814853,0.276354639,高,TRUE,高-低,高-高-低
71,0.227743206,0.276354639,高,TRUE,高-低,高-高-低
71,0.311473446,0.276354639,高,TRUE,高-低,高-高-低
71,0.299044608,0.276354639,高,TRUE,高-低,高-高-低
71,0.19126282,0.276354639,高,TRUE,高-低,高-高-低
71,0.24289834,0.276354639,高,TRUE,高-低,高-高-低
71,0.285416409,0.276354639,高,TRUE,高-低,高-高-低
71,0.183446594,0.276354639,高,TRUE,高-低,高-高-低
58,0.489339453,0.266821218,高,TRUE,高-低,高-高-低
113,0.181512419,0.188464243,中,TRUE,高-低,中-高-低
58,0.21975498,0.266821218,高,TRUE,高-低,高-高-低
58,0.323378282,0.266821218,高,TRUE,高-低,高-高-低
69,0.19851997,0.102532064,中,TRUE,高-低,中-高-低
